doc_id,500 abstracts,clean_text,Sentiment
17,"of excellence in research and education that has contributed greatly to the state-of-the-art in civil engineering. completed in 1967 and extended in 1971, the structural testing area of the laboratory has a versatile strong-floor/wall and a three-story clear height that can be used to carry out a wide range of tests of building materials, models, and structural systems. the laboratory is named for dr. nathan m. newmark, an internationally known educator and engineer, who was the head of the department of civil engineering at the university of illinois [1956-73] and the chair of the digital computing laboratory [1947-57]. he developed simple, yet powerful and widely used, methods for analyzing complex structures and assemblages subjected to a variety of static, dynamic, blast, and earthquake loadings. dr. newmark received numerous honors and awards for his achievements, including the prestigious national medal of science awarded in 1968 by president lyndon b. johnson. he was also one of the founding members of the national academy of engineering. contact: prof. b.f. spencer, jr.",of excel in research and educ that ha contribut greatli to the state-of-the-art in civil engin complet in 1967 and extend in 1971 the structur test area of the laboratori ha a versatil strong-floor/wal and a three-stori clear height that can be use to carri out a wide rang of test of build materi model and structur system the laboratori is name for dr than m newark an intern known educ and engin who wa the head of the depart of civil engin at the univers of illinoi 1956-73 and the chair of the digit comput laboratori 1947-57 he develop simpl yet power and wide use method for analyz complex structur and assembl subject to a varieti of static dynam blast and earthquak load dr newark receiv numer honor and award for hi achiev includ the prestigi nation medal of scienc award in 1968 by presid london b johnson he wa also one of the found member of the nation academi of engin contact prof b.f spenc jr,Negative
18,this paper presents a study of the five best selling smart phones in terms of their applicability to wireless health. smart phones are generally used as central controlling units in wireless health applications. we carried out our investigation by implementing a wireless health application,thi paper present a studi of the five best sell smart phone in term of their applic to tireless health smart phone are gener use as central control unit in tireless health applic we carri out our investig by implement a tireless health applic,Neutral
19,"abstract. sound in smart home are usually encountered for friendly man-machine interfaces, but sound information extraction is a complex task because of environmental noise and of multichannel processing need. a multichannel sound processing system capable to detect and identify sound events",abstract sound in smart home are usual encount for friendli man-machin interfac but sound inform extract is a complex task becaus of environment nois and of multichannel process need a multichannel sound process system capabl to detect and identifi sound event,Neutral
20,"measure of psychological health (baumeister, smart, & boden, 1996;",measur of psycholog health baumeist smart baden 1996,Neutral
21,© copyright of articles is retained by authors; originally published in the electronic journal of health informatics,© copyright of articl is retain by author origin publish in the electron journal of health inform,Positive
22,"the internet of things (iot) has recently emerged as enabling technology for the smart gird, smart health, smart transportation, and smart environment as well as for smart cities. the major smart grid devices are smart home appliances, distributed renewable energy resources and power substations",the internet of thing it ha recent emerg as enabl technolog for the smart gird smart health smart transport and smart environ as well as for smart citi the major smart grid devic are smart home applianc distribut renew energi resourc and power substat,Positive
23,"/or predict threatening long-term trends or immediate crises. the main objective of this paper is to investigate techniques for using agent-based smart home technologies to provide this athome health monitoring and assistance. to this end, we have developed novel prediction algorithms that will determine",or predict threaten long-term tend or immedi crisi the main object of thi paper is to investig techniqu for use agent-bas smart home technolog to provid thi those health monitor and assist to thi end we have develop novel predict algorithm that will determin,Neutral
24,"in this demonstration, we are presenting smartmonitor, a distributed structural health monitoring (shm) system consisting of smart devices. over the last few years, the vast majority of smart devices is equipped with accelerometers that can be utilized towards building shm systems with hundreds",in thi demonstr we are present smartmonitor a distribut structur health monitor she system consist of smart devic over the last few year the vast major of smart devic is equip with acceleromet that can be util toward build she system with hundr,Negative
25,"abstract—mobile devices such as smartphones have a num-ber of sensors that can be exploited to solve a number of problems related to health care delivery. in this paper we use accelerometer, gyroscope, and compass sensors on smart-phones to solve a location tracking problem common to many emergency",abstract—mobil devic such as smartphon have a sum-b of sensori that can be exploit to solv a number of problem relat to health care deliveri in thi paper we use acceleromet gyroscop and compass sensori on smart-phon to solv a locat crack problem common to mani emerg,Neutral
26,/or predict threatening long-term trends or immediate crises. the main objective of this chapter is to describe techniques for using agent-based smart home technologies to provide this at-home health monitoring and assistance. inhabitant modeling and automation algorithms that are found in smart environments,or predict threaten long-term tend or immedi crisi the main object of thi chapter is to describ techniqu for use agent-bas smart home technolog to provid thi at-hom health monitor and assist inhabit model and automat algorithm that are found in smart environ,Negative
27,"of embedded computers and sensors throughout society could well dwarf all previous milestones in the information revolution. however, a framework does not yet exist that can allow the distributed computing paradigm offered by smart sensors to be employed for structural health monitoring and control systems",of embed comput and sensori throughout societi could well dwarf all previou mileston in the inform revolut howev a framework doe not yet exist that can allow the distribut comput paradis offer by smart sensori to be employ for structur health monitor and control system,Neutral
28,applications for electronic health records,applic for electron health record,Negative
29,time synchronization of a wired sensor network for structural health monitoring,time synchron of a wire senior network for structur health monitor,Negative
30,untimed medicine administration can always show adverse effects on the health of the patients. the proposed system is designed to help these patients to take the required medicine in the right proportion at the right time. the basic ideology is integrating the principle of alarm clock with light,unti medicin administr can alway show advers effect on the health of the patient the propos system is design to help these patient to take the requir medicin in the right proport at the right time the basic ideolog is integr the principl of alarm clock with light,Negative
31,"health smart homes are nowadays a very explored research area due to the needs for home automation and telemedicine to support people with loss of autonomy and also due to the evolution of the technology that has resulted in cheap and efficient sensors. however, many studies do not include tests",health smart home are nowaday a veri explor research area due to the need for home automat and telemedicin to support peopl with loss of autonomi and also due to the evolut of the technolog that ha result in cheap and effici sensori howev mani studi do not includ test,Positive
32,"abstract. structural health monitoring (shm) of civil infrastructure using wireless smart sensor networks (wssns) has received significant public attention in recent years. the benefits of wssns are that they are low-cost, easy to install, and provide effective data management via on",abstract structur health monitor she of civil infrastructur use tireless smart senior network son ha receiv signific public attent in recent year the benefit of son are that they are low-cost easi to instal and provid effect data manag via on,Positive
33,abstract:- this paper presents a health smart home (hsh) system represent a temporary or durable alternative to the hospitalization or the recourse to the establishments of lodging of long life – elderly people's homes or specialized centers. the patient is not then constrained any more,abstract thi paper present a health smart home hush system repres a temporari or unabl altern to the hospit or the recours to the establish of lodg of long life – elderli peopl 's home or special center the patient is not then constrain ani more,Negative
34,"the stress and poor sleep quality of a person may be used as two of several components for predicting the onset of mental health problems, in particular depression. ergonomic smart sensors that can determine the heart rate variations related to stress and the variability of sleep may provide unique",the stress and poor sleep qualiti of a person may be use as two of sever compon for predict the onset of mental health problem in particular depress econom smart sensori that can determin the heart rate variat relat to stress and the amiabl of sleep may provid uniqu,Negative
35,smart hospital. the concept of the smart hospital is a useful system for any hospital; about adding intelligence to the traditional hospital system by covering all resources and locations with patient information. patient’s information is an important component of the patient privacy in any health care,smart hospit the concept of the smart hospit is a use system for ani hospit about ad intellig to the tradit hospit system by cover all resourc and locat with patient inform patient ’ s inform is an import compon of the patient privaci in ani health care,Positive
36,remain challenging for individuals who use wheelchairs for mobility. in this paper we introduce a smart wheelchair that utilizes a smartphone with its built-in sensors to capture and record physical activity of manual wheelchair users in both unstructured and structured environments. we develop,remain challeng for individu who use wheelchair for mobil in thi paper we introduc a smart wheelchair that util a smartphon with it built-in sensori to captur and record physic activ of manual wheelchair user in both unstructur and structur environ we develop,Negative
37,". vibration, temperature, and pressure are assumed to be the backbone of wlan systems using small, wireless smart sensors. a wealth of information can be acquired from sensors relating to gearbox and engine diagnostics; rotor system fault detection, track and balance; and health monitoring of any component",vibrat temperatur and pressur are assum to be the backbon of plan system use small tireless smart sensori a wealth of inform can be acquir from sensori relat to gearbox and engin diagnost motor system fault detect track and balanc and health monitor of ani compon,Neutral
38,"summary: many advanced composite materials have been proposed for smart structures. beside the aramid, glass and carbon fibre reinforced polymer (frp) used to replace steel bars, strands, wires or tendons in the structures, frp panels, membranes and textiles are more and more used in all type",summari mani advanc composit materi have been propos for smart structur besid the afraid glass and carbon fibr reinforc polym fro use to replac steel bar strand wire or tendon in the structur fro panel membran and textil are more and more use in all type,Neutral
39,this paper presents recent advances in the structural health monitoring (shm) project within the consortium for research and innovation in aerospace in québec (criaq). this project aims at developing technologies and a shm system for potentially reducing the high costs associated with periodic,thi paper present recent advanc in the structur health monitor she project within the consortium for research and innov in aerospac in quebec cri thi project aim at develop technolog and a she system for potenti reduc the high cost associ with period,Negative
40,a smart antenna has been developed for structural health monitoring. the antenna is based on monarch’s gen 2 self-structuring antenna (ssa) technology and provides polarization and beam-diversity for improving signal-to-noise ratio (snr). the antenna works with university of michigan’s narada,a smart antenna ha been develop for structur health monitor the antenna is base on monarch ’ s gen 2 self-structur antenna sea technolog and provid popular and beam-divers for improv signal-to-nois ratio sir the antenna work with univers of michigan ’ s canada,Negative
41,"-- the problem, however, remains unresolved and contentious. some view urban sprawl as a major threat to environmental quality, fiscal stability, and human health. those with this point of view support policy reforms sometimes called smart growth, new urbanism, and sustainable development (ewing 1997, smart",the problem howev remain resolv and content some view urban scrawl as a major threat to environment qualiti fiscal stabil and human health those with thi point of view support polici reform sometim call smart growth new organ and sustain develop ewe 1997 smart,Neutral
42,"health informatics is increasingly of interest due to its potential in making our health care systems safer. the term ‘health or medical informatics ’ refers to the “application of information technologies to optimise information management within all aspects of health care delivery "" [1]. a",health inform is increasingli of interest due to it potenti in make our health care system safer the term ‘ health or medic inform ’ refer to the “ applic of inform technolog to optim inform manag within all aspect of health care deliveri 1 a,Negative
43,"paper-based artefacts (e.g., forms, manuals, questionnaires) are used ubiquitously and pervasively to support a wide set of activities. education and health care are major examples of such endeavour. however, given the passiveness of the medium itself, several problems (e.g., communication",paper-bas artefact e.g form manual questionnair are use ubiquit and pervas to support a wide set of activ educ and health care are major exampl of such endeavour howev given the passiv of the medium itself sever problem e.g commun,Neutral
44,a flexible framework that performs real-time analysis of physiological data to monitor people’s health conditions is discussed in this paper. patients suspected of suffering sleep apnea and hypopnea syndrome (sahs) have to undergo sleep studies such as expensive polysomnography to be diagnosed,a flexibl framework that perform real-tim analysi of physiolog data to monitor peopl ’ s health condit is discuss in thi paper patient suspect of suffer sleep anna and hypopnea syndrom say have to undergo sleep studi such as expens polysomnographi to be diagnos,Neutral
45,"abstract-the societal need for better public healthcare calls for granular, continuous, nationwide instrumentation and data fusion technologies. however, the current trend of centralised (database) health analytics gives rise to data privacy issues. this paper proposes sensor data mining",abstract-th societi need for better public healthcar call for granular continu nationwid instrument and data fusion technolog howev the current trend of central databas health analysi give rise to data privaci issu thi paper propos senior data mine,Neutral
46,"decision support systems (dss) in the health care com-munity are not new. information driven dss systems were initially introduced in the early 1970s ́ and have been adapted to clinical, managerial, administrative, and cost control systems. clinical dsss are typically designed to integrate a",decis support system de in the health care com-un are not new inform driven de system were initi introduc in the earli 1970 ́ and have been adapt to clinic manageri administr and cost control system clinic day are typic design to integr a,Negative
47,"the response to the hiv/aids pandemic has transformed global health financing and programming, demonstrating the potential to make substantial progress against diseases in lowand middle-income countries and placing a new emphasis on accountability, public engagement, and the health needs",the respons to the his/aid anaem ha transform global health financ and program demonstr the potenti to make substanti progress against diseas in toward middle-incom countri and place a new emphasi on account public engag and the health need,Neutral
48,“the most drastic and usually the most effective remedy for fear is direct action.”,“ the most drastic and usual the most effect remedi for fear is direct action ”,Positive
49,"engineering degree. the work can also be a part of the master’s degree. the authors are responsible for the given opinions, conclusions and results.",engin degre the work can also be a part of the master ’ s degre the author are respons for the given opinion conclus and result,Negative
50,active health monitoring of an aircraft wing with an embedded piezoelectric sensor/actuator network: ii. wireless approaches,activ health monitor of an aircraft wing with an embed piezoelectr senior/actu network ii tireless approach,Neutral
51,the pervasive sensing technologies found in smart environments offer unprecedented opportunities for monitoring and assisting the individuals who live and work in these spaces. an aspect of daily life that is important for one’s emotional and physical health is social interaction. in this paper we,the evas sens technolog found in smart environ offer unpreced opportun for monitor and assist the individu who live and work in these space an aspect of daili life that is import for one ’ s emot and physic health is social interact in thi paper we,Positive
52,"abstract. the data mining and pervasive computing technologies found in smart homes offer unprecedented opportunities for providing context-aware services, including health monitoring and assistance to individuals experiencing difficulties living independently at home. in order to provide",abstract the data mine and evas comput technolog found in smart home offer unpreced opportun for provid context-awar servic includ health monitor and assist to individu experienc difficulti live independ at home in order to provid,Positive
53,"smart is the realization of efforts designed to provide and outlet for information pertaining to sport management and the associated areas of study. with this goal in mind, a functional online journal method was developed to serve as a means for enhance the knowledge-base for sport management",smart is the realiz of effort design to provid and outlet for inform pertain to sport manag and the associ area of studi with thi goal in mind a function onlin journal method wa develop to serv as a mean for enhanc the knowledge-bas for sport manag,Positive
54,abstract—the proper management of personal health information is important to the healthcare smart system. the major challenge for patients is collecting their health information in one location so that it will be accessible to them and to the providers with whom they wish to consult. in recent,abstract—th proper manag of person health inform is import to the healthcar smart system the major challeng for patient is collect their health inform in one locat so that it will be access to them and to the provid with whom they wish to consult in recent,Negative
55,this paper describes the design and preliminary implementation of two distributed smart camera applications: a fall detector and an object finder. these functions are part of a novel suite of applications being developed to address “aging in place ” health care technologies. our approach,thi paper describ the design and preliminari implement of two distribut smart camera applic a fall detector and an object finder these function are part of a novel suit of applic be develop to address “ rage in place ” health care technolog our approach,Negative
56,"of excellence in research and education that has contributed greatly to the state-of-the-art in civil engineering. completed in 1967 and extended in 1971, the structural testing area of the laboratory has a versatile strong-floor/wall and a three-story clear height that can be used to carry out a wide range of tests of building materials, models, and structural systems. the laboratory is named for dr. nathan m. newmark, an internationally known educator and engineer, who was the head of the department of civil engineering at the university of illinois [1956-73] and the chair of the digital computing laboratory [1947-57]. he developed simple, yet powerful and widely used, methods for analyzing complex structures and assemblages subjected to a variety of static, dynamic, blast, and earthquake loadings. dr. newmark received numerous honors and awards for his achievements, including the prestigious national medal of science awarded in 1968 by president lyndon b. johnson. he was also one of the founding members of the national academy of engineering. contact:",of excel in research and educ that ha contribut greatli to the state-of-the-art in civil engin complet in 1967 and extend in 1971 the structur test area of the laboratori ha a versatil strong-floor/wal and a three-stori clear height that can be use to carri out a wide rang of test of build materi model and structur system the laboratori is name for dr than m newark an intern known educ and engin who wa the head of the depart of civil engin at the univers of illinoi 1956-73 and the chair of the digit comput laboratori 1947-57 he develop simpl yet power and wide use method for analyz complex structur and assembl subject to a varieti of static dynam blast and earthquak load dr newark receiv numer honor and award for hi achiev includ the prestigi nation medal of scienc award in 1968 by presid london b johnson he wa also one of the found member of the nation academi of engin contact,Positive
57,"covering a wide range of social and behavioral sciences: economics, sociology, psychology, survey methodology, econometrics and applied statistics, educational science, political science, public health, behavioral genetics, demography, geography, and sport science. the decision to publish a submission",cover a wide rang of social and behavior scienc econom sociolog psycholog survey methodolog econometr and appli statist educ scienc polit scienc public health behavior genet geographi geographi and sport scienc the decis to publish a submiss,Neutral
58,"biosensing devices, smart tex-tiles, microelectronics, and wireless communications, the contin-uous advance of wearable sensor-based systems will potentially transform the future of healthcare by enabling proactive personal health management and ubiquitous monitoring of a patient’s health condition",biosens devic smart ten-tim microelectron and tireless commun the contain-v advanc of bearabl senior-bas system will potenti transform the futur of healthcar by enabl practic person health manag and ubiquit monitor of a patient ’ s health condit,Neutral
59,wien.ac.at the introduction of smart cards in the austrian public sector has been discussed since the late 1980s. public organisations including the national health insurance institute and the national citizen registration office are in the conceptual phase of the introduction. one of the pilot,when.ac.at the introduct of smart card in the austrian public sector ha been discuss sinc the late 1980 public organ includ the nation health insur institut and the nation citizen registr offic are in the conceptu phase of the introduct one of the pilot,Positive
60,"a “smart city ” is intended as an urban environment which, supported by pervasive ict systems, is able to offer advanced and innovative services to citizens in order to improve the overall quality of their life. in this context, the present contribution formulates a pioneering proposal, by drawing",a “ smart citi ” is intend as an urban environ which support by evas it system is abl to offer advanc and innov servic to citizen in order to improv the overal qualiti of their life in thi context the present contribut formul a pioneer propos by draw,Negative
61,"abstract—smart grids are critical cyber-physical infrastructures in the world now. since these infrastructures are prone to large scale outages due to disasters or faults, a resilient and survivable communication architecture is desired. in this work, we propose a resilient and survivable",abstract—smart grid are critic saber-phys infrastructur in the world now sinc these infrastructur are prone to larg scale outrag due to disast or fault a resid and surviv commun architectur is desir in thi work we propos a resid and surviv,Neutral
62,"is designed to be flexible, extensible, and transparent, to support plug-and-play operation of new devices and components, and to provide remote monitoring and programming opportunities. results: the smart home-based health platform technologies have been tested in two physical smart environments. data",is design to be flexibl extens and transpar to support plug-and-play oper of new devic and compon and to provid remot monitor and program opportun result the smart home-bas health platform technolog have been test in two physic smart environ data,Neutral
63,space center (ssc). key components include distributed smart sensor elements integrated using a knowledge-driven environment. one of the specific goals is to imbue sensors with the intelligence needed to perform self-diagnosis of health and to participate in a hierarchy of health determination at sensor,space center sac key compon includ distribut smart senior element integr use a knowledge-driven environ one of the specif goal is to imbu sensori with the intellig need to perform self-diagnosi of health and to particip in a hierarchi of health determin at senior,Negative
64,"with health problems participated in focus group interviews. participants reported being interested in smart wear because of the potential to detect the location (gps) of a dependent (e.g., child, elderly) and to monitor vital signs. participants indicated perceived advantages of smart wear",with health problem particip in focu group interview particip report be interest in smart wear becaus of the potenti to detect the locat ga of a depend e.g child elderli and to monitor vital sign particip indic perceiv advantag of smart wear,Positive
65,in other situations and environments) with adequate and non intrusive monitoring in order to improve the quality of their life. the system consists of fixed smart sensors distributed in the environment and wearable ones monitoring inhabitants health and activity. the interaction between fixed and mobile,in other situat and environ with adequ and non intrus monitor in order to improv the qualiti of their life the system consist of fix smart sensori distribut in the environ and bearabl one monitor inhabit health and activ the interact between fix and mobil,Neutral
66,hardware design of hierarchal active-sensing networks for structural health monitoring,hardwar design of hierarchi active-sens network for structur health monitor,Neutral
67,"in this paper, we describe an approach to developing an ecologically valid framework for performing automated cognitive assessment. to automate assessment, we use a machine learning approach that builds a model of cognitive health based on observations of activity performance and uses lab",in thi paper we describ an approach to develop an econom valid framework for perform automat cognit assess to automat assess we use a machin learn approach that build a model of cognit health base on observ of activ perform and use lab,Neutral
68,"abstract: current medical system based on medical records and health books is outdated and no longer meets the new requirements. essential information security in terms of data privacy, integrity and authenticity, is not assured. healthcare fraud with medical records is quite easy, because",abstract current medic system base on medic record and health book is outdat and no longer meet the new requir essenti inform secur in term of data privaci integr and authent is not assur healthcar fraud with medic record is quit easi becaus,Negative
69,mesh ip network health- automated checks to ensure that your network is performing well. data publishing for smartmesh ip- low-level descriptions of how to use the mote's api for sending data. managing advertising in an ltc5800-ipr based network- a state machine to save power by turning advertising,mesh in network health automat check to ensur that your network is perform well data publish for smart in low-level descript of how to use the more 's apt for send data manag advertis in an ltc5800-in base network a state machin to save power by turn advertis,Positive
70,"health smart homes are nowadays a very explored research area due to the needs for automation and telemedicine to support people with loss of autonomy and also to the evolution of the technology that has resulted in cheap and efficient sensors. however, data collection in this area is still very",health smart home are nowaday a veri explor research area due to the need for automat and telemedicin to support peopl with loss of autonomi and also to the evolut of the technolog that ha result in cheap and effici sensori howev data collect in thi area is still veri,Neutral
71,designing assistive technological solutions for people with disabilities and older people is fraught with problems due to the number of agencies involved. these problems are compounded by the lack of understanding that can exist between the engineers and the health staff. this lack of understanding,design assist technolog solut for peopl with disabl and older peopl is fraught with problem due to the number of agenc involv these problem are compound by the lack of understand that can exist between the engin and the health staff thi lack of understand,Negative
72,"proposes a technique that uses reference nets to model and simulate a smart home which is sensitive, adaptive and responsive to elderly’s health, needs and preferences.",propos a techniqu that use refer net to model and simul a smart home which is sensit captiv and respons to elderli ’ s health need and refer,Neutral
73,the introduction of smart cards in the austrian public sector has been discussed since the late 1980s. public organisations including the national health insurance institute and the national citizen registration office are in the conceptual phase of the introduction. one of the pilot projects,the introduct of smart card in the austrian public sector ha been discuss sinc the late 1980 public organ includ the nation health insur institut and the nation citizen registr offic are in the conceptu phase of the introduct one of the pilot project,Neutral
74,"scales, by automatically classifying the different activities of daily living performed by the subject during the day. a health smart home is used for this. our health smart home includes, in a real flat, infra-red presence sensors (location), door contacts (to control the use of some facilities",scale by automat clarifi the differ activ of daili live perform by the subject dure the day a health smart home is use for thi our health smart home includ in a real flat infra-r presenc sensori locat door contact to control the use of some facil,Neutral
75,"abstract — middleware for pervasive computing is an active area of research that is now starting to mature. prototypical systems have been developed and used for demonstration applications in a number of domains. however, realistic pervasive environments of the future will need to integrate with enterprise systems, including software, hardware, databases, standards, and life cycle. designing and implementing “enterprise-strength” pervasive applications today is not an easy task, as we illustrate with a simple case study of a healthcare scenario. we use the case study to draw conclusions about requirements placed on future pervasive systems. i.",abstract — middlewar for evas comput is an activ area of research that is now start to matur prototyp system have been develop and use for demonstr applic in a number of domain howev realist evas environ of the futur will need to integr with enterpris system includ softwar hardwar databas standard and life cycl design and implement “ enterprise-strength ” evas applic today is not an easi task as we illustr with a simpl case studi of a healthcar scenario we use the case studi to draw conclus about requir place on futur evas system i,Negative
76,abstract. primary objective: the study aim is to explore the perceptions and expectations of seniors in regard to ‘smart home ’ technology installed and operated in their homes with the purpose of improving their quality of life and/or monitoring their health status. research design and methods,abstract primari object the studi aim is to explor the percept and expect of senior in regard to ‘ smart home ’ technolog instal and oper in their home with the purpos of improv their qualiti of life and/or monitor their health statu research design and method,Negative
77,"abstract—in this paper, we present a smart transducer interface module (stim) for distributed optical fibre smart sensors. the stim is a general purpose interface that has been designed to be used with intensiometric optical fibre sensors. the interface is made up of 2 optical fibre pin receivers",abstract—in thi paper we present a smart transduc interfac modul stir for distribut optic fibr smart sensori the stir is a gener purpos interfac that ha been design to be use with intensiometr optic fibr sensori the interfac is made up of 2 optic fibr pin receiv,Neutral
78,"information technologies being developed by nasa to assist astronaut-physician in responding to medical emergencies during long space flights are being employed for the improvement of women's health in the form of ""smart surgical probe"". this technology, initially developed",inform technolog be develop by nasal to assist astronaut-physician in respond to medic emerg dure long space flight are be employ for the improv of women 's health in the form of smart surgic probe thi technolog initi develop,Neutral
79,"intelligent appliances with multimedia capability have been emerging into our daily life, thanks to the fast advance of computing technology and the wide use of the interne. smart home is one of the most prominent areas of intelligent appliances. kitchen is one of the places where such intelligent",intellig applianc with multimedia capabl have been emerg into our daili life thank to the fast advanc of comput technolog and the wide use of the internet smart home is one of the most promin area of intellig applianc kitchen is one of the place where such intellig,Negative
80,"technology can be used to build a smart hospital. indeed, used in combination with mobile devices in ehealth applications, rfid helps optimizing business processes in healthcare and improve patient safety. the second part of this article shows how to use an assets tracking application, called the rfidlocator",technolog can be use to build a smart hospit inde use in combin with mobil devic in health applic rid help optim busi process in healthcar and improv patient safeti the second part of thi articl show how to use an asset crack applic call the rfidloc,Negative
81,"outlier detection is a fundamental issue in data mining, speci cally in fraud detection, network intrusion detection, network monitoring, etc. smartsifter, which we abbreviate as ss, is an outlier detection engine adrressing this problem from the viewpoint of statistical learning theory. this paper",outer detect is a fundament issu in data mine speci call in fraud detect network intrus detect network monitor etc smartsift which we abbrevi as is is an outer detect engin address thi problem from the viewpoint of statist learn theori thi paper,Negative
82,". to meet this goal, smart homes, equipped with lots of sensors, deliver information on the activities of the person and can help detect distress situations. in this paper, we present a global speech and sound recognition system that can be set-up in a flat. we placed eight microphones in the health smart",to meet thi goal smart home equip with lot of sensori deliv inform on the activ of the person and can help detect distress situat in thi paper we present a global speech and sound recognit system that can be set-up in a flat we place eight microphon in the health smart,Positive
